,brand,name,rating,released,os
0,acer,Acer Liquid Z530,65.0,Oct-2015,Android
1,acer,Acer Liquid M220,46.5,May-2015,Windows
2,acer,Acer Liquid Jade Z,65.89,Apr-2015,Android
3,acer,Acer Liquid Z220,45.0,Apr-2015,Android
4,acer,Acer Liquid Z410,70.0,Feb-2015,Android
5,acer,Acer Liquid Jade S55,52.5,Dec-2014,Android
6,acer,Acer Liquid E700,70.0,Aug-2014,Android
7,acer,Acer Liquid Jade,65.0,Jul-2014,Android
8,acer,Acer Liquid E3,60.0,Apr-2014,Android
9,acer,Acer Liquid Z4,40.0,Apr-2014,Android
10,acer,Acer Liquid Z5,60.0,Jan-2014,Android
11,acer,Acer Liquid S2,74.14,Dec-2013,Android
12,acer,Acer Liquid Z3,63.0,Sep-2013,Android
13,acer,Acer Liquid S1,55.75,Aug-2013,Android
14,acer,Acer Liquid S1 Duo,80.0,Aug-2013,Android
15,acer,Acer Liquid E2,65.0,May-2013,Android
16,acer,Acer Liquid E2 Duo,60.0,May-2013,Android
17,acer,Acer Liquid E1,61.67,Mar-2013,Android
18,acer,Acer Liquid E1 Duo,60.0,Mar-2013,Android
19,acer,Acer Liquid Z2,66.67,Mar-2013,Android
20,acer,Acer CloudMobile S500,70.56,Sep-2012,Android
21,acer,Acer Liquid Gallant,90.0,Sep-2012,Android
22,acer,Acer Liquid Glow,60.0,Aug-2012,Android
23,acer,Acer Liquid Mini E310,58.57,Apr-2011,Android
24,acer,Acer beTouch E210,56.0,Mar-2011,Android
25,acer,Acer beTouch E140,55.0,Dec-2010,Android
26,acer,Acer Liquid Metal,73.22,Nov-2010,Android
27,acer,Acer beTouch E130,70.0,Aug-2010,Android
28,acer,Acer Liquid E,66.67,Aug-2010,Android
29,acer,Acer Liquid E Ferrari,50.0,Aug-2010,Android
30,acer,Acer Stream,71.54,Aug-2010,Android
31,acer,Acer NeoTouch P400,50.0,May-2010,Windows
32,acer,Acer beTouch E400,62.0,Apr-2010,Android
33,acer,Acer beTouch E110,45.0,May-2010,Android
34,acer,Acer neoTouch P300,40.0,Mar-2010,Windows
35,alcatel,Alcatel Idol 5s,71.0,Jul-2017,Android
36,alcatel,Alcatel Idol 4s,75.15,Jul-2016,Android
37,alcatel,Alcatel Fierce XL,60.0,Feb-2016,Windows
38,alcatel,Alcatel One Touch Idol 3,77.86,May-2015,Android
39,alcatel,Alcatel OneTouch Pixi 3,56.0,Mar-2015,Android
40,alcatel,Alcatel One Touch Pop 2-4.5,51.5,Dec-2014,Android
41,alcatel,Alcatel One Touch Pop Mega,60.0,Oct-2014,Android
42,alcatel,Alcatel One Touch Fierce 2,50.0,Sep-2014,Android
43,alcatel,Alcatel One Touch Hero 2,72.0,Sep-2014,Android
44,alcatel,Alcatel One Touch Pop D3,75.0,Sep-2014,Android
45,alcatel,Alcatel One Touch Pop D5,46.0,Sep-2014,Android
46,alcatel,Alcatel One Touch 20.05,70.0,Aug-2014,Proprietary
47,alcatel,Alcatel One Touch Idol 2S,77.5,Jul-2014,Android
